"importId";"code";"name";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk"
208;"gstAlert";"gstAlert";1;;"GA";;1;0
209;"gstControl";"GST Control";1;;"GC";;1;0
